stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
23,0,410,0,0,1.001532,50357540.37,1.001478,37418,1.001639,5052.24,1.00162,-0.30994415,41,0_410_23
24,0,410,0,0,1.002142,10113278.16,1.001973,28533.6,1.002142,1426.92,1.002134,-0.8100271,41,0_410_24
25,0,410,700469.9,-1,0.999695,17031812.21,0.999695,18351.2,0.999774,19112.07,0.999734,-9.170175,41,0_410_25
26,0,410,0,0,0.997449,7989194.75,0.997449,555878.98,0.99816,756315.21,0.99775,-1.1599064,41,0_410_26
27,0,410,2011675.96,-1,0.99872,11878916.7,0.998668,1730.07,0.998927,49800.52,0.998676,0.1502037,41,0_410_27
28,0,410,296382.37,-1,0.999708,7452723.86,0.999708,14460.96,1.000098,7695,0.999963,3.7801266,41,0_410_28
29,0,410,9286928.9,1,1.001067,30653645.03,1.000701,70846.02,1.001234,302157.13,1.000802,0.49948692,41,0_410_29
30,0,410,422166.88,1,1.000272,6599194.08,1.000103,29254.5,1.000272,41436.11,1.000173,-2.0498037,41,0_410_30
31,0,410,93212.24,1,0.996764,2638861.68,0.995873,88478.52,0.996764,153929.64,0.996198,-29.090046,41,0_410_31
32,0,410,0,0,0.99853,10382697.69,0.998405,52385.4,0.99853,6569.02,0.998516,4.4095516,41,0_410_32
33,0,410,2737316.13,-1,0.997193,9333929.71,0.997193,177853,0.997266,131347.2,0.997235,-10.250211,41,0_410_33
34,0,410,655497.05,1,1.001588,26829834.34,1.000877,25965.9,1.001623,61209.7,1.001099,2.4604797,41,0_410_34
35,0,410,0,0,0.999759,10179452.73,0.999676,362.7,0.999759,15960.12,0.999678,0.18000603,41,0_410_35
36,0,410,0,0,1.000428,8905896.13,1.000327,66894.37,1.000428,9882,1.000415,4.6896935,41,0_410_36
37,0,410,720157.01,-1,1.000149,29851649.23,1.000101,837.72,1.000244,4817.58,1.000122,-1.360178,41,0_410_37
38,0,410,1180417.64,-1,1.001545,22167977.44,1.001545,203062.08,1.001666,230208.96,1.001602,-0.01013279,41,0_410_38
