stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
22,0,170,4643617.25,1,0.998616,7352412.07,0.998156,10232.96,0.998616,4338,0.998479,-1.6099215,17,0_170_22
23,0,170,7771082.37,1,0.999605,26609764.25,0.999391,31739,0.999658,195340.5,0.999428,11.320114,17,0_170_23
24,0,170,1441194.35,1,1.001552,3237644.41,1.001467,58345.53,1.001552,160196.32,1.00149,1.5699863,17,0_170_24
25,0,170,171161.27,1,0.999853,8963305.46,0.999695,12656,0.999853,70631.64,0.999719,-4.1097403,17,0_170_25
26,0,170,215560.63,-1,0.99816,4626597.92,0.99816,188226.48,0.998872,461930.04,0.998366,-0.38981438,17,0_170_26
27,0,170,1331236.33,-1,0.998564,8764100.86,0.998512,5766,0.998979,46341.89,0.998564,2.1898746,17,0_170_27
28,0,170,2727610.29,-1,0.998668,2161467.66,0.998668,15368,0.998928,7686,0.998842,2.3794174,17,0_170_28
29,0,170,18162878.65,1,1.001517,9295328.47,1.001151,3003.3,1.001617,18629.14,1.001216,-2.6398897,17,0_170_29
30,0,170,653933.19,1,1.000949,3123231.27,1.00078,23656,1.000949,11830,1.000893,1.7797947,17,0_170_30
31,0,170,659692.97,-1,0.998545,1021259.45,0.998545,29997.96,0.999436,83925.6,0.99878,-1.2600422,17,0_170_31
32,0,170,3501307.37,1,1.00015,4236676.58,1.000026,12034.5,1.0004,8026,1.00025,-8.950233,17,0_170_32
33,0,170,1165883.74,-1,0.998943,2702468.58,0.998943,41115,0.999453,13712,0.999325,0.3004074,17,0_170_33
34,0,170,11138837.71,1,1.000478,11364254.9,1.000183,2883.1,1.000773,576.96,1.000674,-5.4502487,17,0_170_34
35,0,170,0,0,0.999345,6372044.74,0.999262,4713.15,0.999345,5680.42,0.9993,-1.6397238,17,0_170_35
36,0,170,428201.33,1,1.000732,4149453.58,1.000529,24707.5,1.000732,41714.7,1.000605,-1.3500452,17,0_170_36
37,0,170,3021560.18,-1,0.99948,12841997.23,0.999337,1255.62,0.999576,41864,0.999344,10.210276,17,0_170_37
38,0,170,8909722,-1,1.000818,10824939.1,1.000818,58908.06,1.000939,14212.36,1.000916,-0.15974045,17,0_170_38
39,0,170,0,0,0.999384,5832925.33,0.999204,5829.45,0.999384,1166.1,0.999354,-0.4798174,17,0_170_39
40,0,170,3271909.33,1,0.998386,3248138.46,0.997923,29759.7,0.998501,431.55,0.998493,-0.7200241,17,0_170_40
41,0,170,9679347.41,-1,0.999742,83992620.38,0.999691,44089.92,0.999793,19685,0.999762,1.3005733,17,0_170_41
42,0,170,0,0,0.99819,2129922.6,0.996707,64088.64,0.99846,24436.5,0.997976,-6.16014,17,0_170_42
43,0,170,528130.01,1,1.000219,1865406.91,0.999761,12405.12,1.000047,13981.6,0.999896,-5.400181,17,0_170_43
44,0,170,3720242.79,-1,1.000096,10270865.93,1.000096,66862.44,1.000285,4232.6,1.000273,-0.5501509,17,0_170_44
45,0,170,30050801.91,1,1.000068,317234180.5,0.999998,29340.58,1.000068,56976,1.000022,0.87976456,17,0_170_45
46,0,170,0,0,1.002928,2494529.79,1.000859,483.57,1.003135,8239.39,1.000985,5.3596497,17,0_170_46
47,0,170,349679.3,-1,1.001976,1956843.25,1.001976,22387.59,1.002411,3133.78,1.002358,-13.570189,17,0_170_47
48,0,170,862573.93,1,0.99943,5546686.81,0.99913,7002.9,0.999472,99241.75,0.999153,1.4197826,17,0_170_48
49,0,170,95905.53,-1,0.999949,7362607.68,0.999949,94746.08,1.000226,102206.88,1.000082,-1.9598007,17,0_170_49
50,0,170,5815647.76,-1,0.999041,5308118.55,0.999041,32306,0.999412,48477,0.99919,-31.13985,17,0_170_50
51,0,170,0,0,0.999785,8698937.51,0.999761,1683.48,1.000402,5474.82,0.999912,4.349947,17,0_170_51
52,0,170,1007760.09,-1,0.998443,7672287.83,0.99836,3334.24,0.998863,38005.66,0.9984,2.579689,17,0_170_52
53,0,170,1411282.4,1,0.999629,22045258.78,0.999483,58833.06,0.999775,25241.12,0.999688,2.5701523,17,0_170_53
54,0,170,8982715.52,-1,0.999439,9207570.57,0.999439,1435.05,0.999613,17223.6,0.999452,2.360344,17,0_170_54
55,0,170,1971901.34,-1,0.999633,4072058.66,0.999633,16416,0.999816,72188.87,0.999667,-1.5300512,17,0_170_55
56,0,170,1711952.74,1,1.000813,5995136.6,1.000548,233344.44,1.000813,37768,1.000777,-5.9497356,17,0_170_56
57,0,170,2417625.76,1,1.001261,11184988.86,1.000478,25738.92,1.001527,16273.2,1.001121,-7.8099966,17,0_170_57
58,0,170,14569861.12,-1,0.99981,16400031.68,0.999677,105118,1.000019,1051.54,1.000016,-2.7501583,17,0_170_58
59,0,170,714214.2,-1,0.998087,4950198.9,0.997994,139154.96,0.99846,33280.11,0.99837,2.1898746,17,0_170_59
60,0,170,0,0,0.99988,5351098.58,0.99988,6839.1,1.000354,54485.3,0.999933,3.5703182,17,0_170_60
61,0,170,278662.04,-1,0.999619,4647788.87,0.999619,28932.12,0.999975,35224.52,0.999779,-2.9098988,17,0_170_61
62,0,170,948427.14,-1,0.999798,3337095.18,0.999798,495.68,1.000807,63511.04,0.999806,4.4202805,17,0_170_62
63,0,170,70696.67,-1,0.998736,2687596.45,0.998736,25490,0.998932,16979.67,0.998853,-6.6798925,17,0_170_63
